feature,importance
LAst_max,24.44028082407307
LAst_mean,28.847112482644373
LAst_min,22.775610808153345
LAst_std,30.648738606437046
LAst_sum,30.11793676131688
LBlk_max,27.084674243809545
LBlk_mean,31.645335168263856
LBlk_min,11.909794212933157
LBlk_std,30.76290586997008
LBlk_sum,30.148143580947533
LDR_max,30.24929853094505
LDR_mean,32.529820348339136
LDR_min,24.62002968217444
LDR_std,28.099054995129567
LDR_sum,31.64290933761381
LDayNum_max,24.292068696782877
LDayNum_mean,30.644999171888657
LDayNum_min,24.746211483940115
LDayNum_std,27.9402188880603
LDayNum_sum,32.29578788252615
LEV,33.673543485647876
LFG3Ratio,27.393678532359623
LFGA3_max,23.103571892674758
LFGA3_mean,28.87508335064706
LFGA3_min,22.48285180373456
LFGA3_std,29.13080501205505
LFGA3_sum,29.292571895804414
LFGA_max,22.05783344366288
LFGA_mean,29.31032609696758
LFGA_min,25.992080481017812
LFGA_std,28.212508901815923
LFGA_sum,30.191557793638708
LFGM3_max,16.518754336963287
LFGM3_mean,31.740725020642355
LFGM3_min,18.891878761889032
LFGM3_std,33.108036354911334
LFGM3_sum,30.23526897960585
LFGM_max,30.241338257246564
LFGM_mean,32.387780178659334
LFGM_min,19.987267508492405
LFGM_std,31.659884849534212
LFGM_sum,33.94172922824615
LFGRatio,31.156292007371206
LFTA_max,27.761835460995506
LFTA_mean,29.04589002025963
LFTA_min,21.05245616007834
LFTA_std,30.440244533449896
LFTA_sum,27.198932330736824
LFTM_max,27.51073215445278
LFTM_mean,30.065062690168844
LFTM_min,26.223899460700316
LFTM_std,28.092779712777617
LFTM_sum,27.18090023335281
LFTR,29.914995221914403
LFTRatio,28.476848357482318
LLoc_max,0.0
LLoc_mean,36.834440109863785
LLoc_min,0.0
LLoc_std,33.28194706666875
LLoc_sum,35.231823268264705
LNumLose,32.01134156943116
LNumOT_max,16.23206034233043
LNumOT_mean,29.113608371120634
LNumOT_min,0.0
LNumOT_std,29.088932932926102
LNumOT_sum,21.39322254338913
LNumWin,36.91349528281021
LOR%,30.052341069522566
LOR_max,23.023344846810538
LOR_mean,26.053091031084563
LOR_min,27.592652846880046
LOR_std,30.068097479681278
LOR_sum,30.824079363648995
LOrdinalRank_max,39.272205186320534
LOrdinalRank_mean,41.919029896772784
LOrdinalRank_min,40.59622822734001
LOrdinalRank_std,40.54792620406177
LOrdinalRank_sum,41.900023399074904
LPF_max,23.606677929646334
LPF_mean,29.225790534595482
LPF_min,22.143213335317515
LPF_std,24.251811006355585
LPF_sum,29.289937122288244
LPOSS,26.56267331831447
LPPP,32.00640029722883
LRankingDayNum_max,0.0
LRankingDayNum_mean,28.901095830090732
LRankingDayNum_min,17.523308348446715
LRankingDayNum_std,27.924821563311884
LRankingDayNum_sum,27.266994640685805
LScoreGap_max,32.912423342273854
LScoreGap_mean,37.06187966040437
LScoreGap_min,30.18035589999233
LScoreGap_std,30.361718018153738
LScoreGap_sum,38.16986965103804
LScore_max,25.43732045327622
LScore_mean,31.329064018255934
LScore_min,30.0976558489733
LScore_std,29.0534613269082
LScore_sum,32.96610102973955
LStl_max,22.66298385059926
LStl_mean,32.34751469852188
LStl_min,21.104972866256222
LStl_std,29.895882746071162
LStl_sum,32.76410900367145
LTO%,32.14826375569581
LTO_max,25.127176015223718
LTO_mean,28.83431380086928
LTO_min,23.06386348138982
LTO_std,29.200479383496802
LTO_sum,27.50416278419957
LTR,28.27428938742497
LTS%,28.45652938519177
LWinRatio,35.59091813760447
Ldiff_win_lose,37.71664147156641
LeFG,28.509113298397853
Lregion,10.540955248388096
Lseed_in_region,41.028753553832566
Lseed_in_region2,22.77746704807488
Season,22.066627321939592
WAst_max,23.901801358767493
WAst_mean,29.22824093958375
WAst_min,23.688253304161822
WAst_std,27.762592342080605
WAst_sum,31.01968382996658
WBlk_max,27.405508626404334
WBlk_mean,31.584965483530738
WBlk_min,17.71706377466004
WBlk_std,31.18417592046338
WBlk_sum,31.509776310372814
WDR_max,27.385207930798973
WDR_mean,32.325374384358156
WDR_min,24.20366972171441
WDR_std,28.493852158543554
WDR_sum,30.342065897269276
WDayNum_max,23.1473666832659
WDayNum_mean,31.006102160755816
WDayNum_min,23.235491969335694
WDayNum_std,27.09001899376426
WDayNum_sum,32.729286624983324
WEV,32.517905029680335
WFG3Ratio,27.181885032574105
WFGA3_max,20.989108525905497
WFGA3_mean,29.449031616394073
WFGA3_min,21.788281259319454
WFGA3_std,28.474806056417854
WFGA3_sum,29.505533400737022
WFGA_max,21.58164365362915
WFGA_mean,29.613793519343783
WFGA_min,26.901619602164324
WFGA_std,27.655396716490475
WFGA_sum,32.19750926284609
WFGM3_max,19.818024436288326
WFGM3_mean,29.627224127057545
WFGM3_min,17.38916676987442
WFGM3_std,30.903114952437512
WFGM3_sum,27.279041540694244
WFGM_max,29.843650963591394
WFGM_mean,31.609852754956837
WFGM_min,22.56666975193263
WFGM_std,31.571192000524416
WFGM_sum,35.44131269264598
WFGRatio,30.303626703303745
WFTA_max,27.548712176102594
WFTA_mean,30.44839364011137
WFTA_min,24.68312133038285
WFTA_std,31.249147816776123
WFTA_sum,28.925011511219182
WFTM_max,26.99065199242224
WFTM_mean,29.183676454342113
WFTM_min,24.677947360163206
WFTM_std,29.133067608448457
WFTM_sum,27.937783907071548
WFTR,30.21700026223178
WFTRatio,29.75659180116444
WLoc_max,0.0
WLoc_mean,34.908595421403746
WLoc_min,0.0
WLoc_std,30.91233456480558
WLoc_sum,34.48224204660164
WNumLose,32.56837344653486
WNumOT_max,12.974496433308634
WNumOT_mean,30.555021996012435
WNumOT_min,0.0
WNumOT_std,29.23981362197017
WNumOT_sum,24.017575782783666
WNumWin,32.15724568663371
WOR%,29.183115026213194
WOR_max,23.596867252430812
WOR_mean,28.9270114143276
WOR_min,27.273240576345795
WOR_std,29.27532001260314
WOR_sum,30.820475022327706
WOrdinalRank_max,38.8873859124401
WOrdinalRank_mean,42.737919115469225
WOrdinalRank_min,40.256923755102285
WOrdinalRank_std,39.65010204247923
WOrdinalRank_sum,41.19247354252004
WPF_max,21.33297974639257
WPF_mean,30.0306389698903
WPF_min,19.548977431437127
WPF_std,26.817710458529756
WPF_sum,28.01038121646947
WPOSS,27.971253278131922
WPPP,29.821220384429488
WRankingDayNum_max,0.0
WRankingDayNum_mean,26.56396220438241
WRankingDayNum_min,16.55500173448021
WRankingDayNum_std,29.229156053991392
WRankingDayNum_sum,32.48628393008246
WScoreGap_max,34.575747762419454
WScoreGap_mean,38.44628991198422
WScoreGap_min,28.016177892627738
WScoreGap_std,28.99793080274829
WScoreGap_sum,39.80795629077424
WScore_max,24.304411973906504
WScore_mean,34.42666003345375
WScore_min,27.866544924167584
WScore_std,25.930408583953117
WScore_sum,32.333543456730965
WStl_max,24.35523680694785
WStl_mean,33.39880139491986
WStl_min,23.14905320701516
WStl_std,29.320908659560203
WStl_sum,32.15812499996152
WTO%,30.926121618178644
WTO_max,24.66262001551992
WTO_mean,29.380217357476734
WTO_min,20.537017545980355
WTO_std,29.900542075242694
WTO_sum,28.014739237957514
WTR,29.267370155083228
WTS%,29.687627934682755
WWinRatio,35.71373594976405
Wdiff_win_lose,30.587989195930092
WeFG,27.53705055421351
Wregion,13.92669604770873
Wseed_in_region,44.00884350499641
Wseed_in_region2,25.970139798340185
diff_DR_mean,33.231970430396025
diff_DayNum_mean,30.544449318844258
diff_FGM3_std,29.102502994946924
diff_OR_std,36.239960517444146
diff_OrdinalRank_mean,48.332362722334544
diff_PF_mean,38.72271009350613
diff_ScoreGap_sum,44.88363739454898
diff_Score_mean,31.222476732763695
diff_Stl_sum,36.72811533038561
diff_TO_mean,34.4207306296506
diff_diff_win_lose,38.12943475743875
diff_region,10.035448124504507
diff_seed_in_region,47.66149278917269
diff_seed_in_region2,25.386747030987564
