feature,importance
LAst_max,2.544709764575004
LAst_mean,0.0
LAst_min,0.0
LAst_std,0.0
LAst_sum,16.658169896017725
LBlk_max,27.04555344025526
LBlk_mean,11.247619786486592
LBlk_min,0.0
LBlk_std,25.82041608959993
LBlk_sum,31.701416433691293
LConfAbbrev,14.677742307189968
LDR_max,0.0
LDR_mean,6.584562442698121
LDR_min,0.0
LDR_std,0.0
LDR_sum,3.348498521704311
LDayNum_max,0.0
LDayNum_mean,0.0
LDayNum_min,0.0
LDayNum_std,3.2507104836909515
LDayNum_sum,5.604569067556033
LEV,0.0
LFG3Ratio,0.0
LFGA3_max,0.0
LFGA3_mean,0.0
LFGA3_min,3.372058269208708
LFGA3_std,3.87571621512983
LFGA3_sum,0.0
LFGA_max,0.0
LFGA_mean,0.0
LFGA_min,0.0
LFGA_std,0.0
LFGA_sum,2.2499298277153987
LFGM3_max,0.0
LFGM3_mean,3.9068677473216504
LFGM3_min,9.772091887812099
LFGM3_std,0.0
LFGM3_sum,0.0
LFGM_max,4.200928851354254
LFGM_mean,4.512550386966804
LFGM_min,6.519860589909754
LFGM_std,14.737886496167565
LFGM_sum,15.517999260291344
LFGRatio,7.62150759744242
LFTA_max,9.46901918547379
LFTA_mean,14.54913042300689
LFTA_min,2.7547951111990887
LFTA_std,0.0
LFTA_sum,3.844894473356733
LFTM_max,0.0
LFTM_mean,1.9898025940687927
LFTM_min,0.0
LFTM_std,3.124809528636319
LFTM_sum,0.0
LFTR,4.548538030457447
LFTRatio,0.0
LLoc_max,0.0
LLoc_mean,0.0
LLoc_min,0.0
LLoc_std,10.326929636725323
LLoc_sum,0.0
LNumLose,33.292065581219475
LNumOT_max,0.0
LNumOT_mean,0.0
LNumOT_min,0.0
LNumOT_std,0.0
LNumOT_sum,0.0
LNumWin,0.0
LOR%,0.0
LOR_max,0.0
LOR_mean,0.0
LOR_min,0.0
LOR_std,0.0
LOR_sum,0.0
LPF_max,4.1853931030809575
LPF_mean,0.0
LPF_min,0.0
LPF_std,0.0
LPF_sum,0.0
LPOSS,3.2710681729173823
LPPP,0.0
LScoreGap_max,0.0
LScoreGap_mean,2.991289885572394
LScoreGap_min,0.0
LScoreGap_std,2.964970971140641
LScoreGap_sum,31.885138038351815
LScore_max,2.084555930435774
LScore_mean,0.0
LScore_min,0.0
LScore_std,0.0
LScore_sum,0.0
LStl_max,0.0
LStl_mean,0.0
LStl_min,0.0
LStl_std,19.16737568289274
LStl_sum,0.0
LTO%,15.989576745608849
LTO_max,0.0
